YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Total,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2013,2013,MT,Montana,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,No,10002,,,Total,"(47.066528972, -109.424420645)",PA,PA2,Q053,VALUE,30,Total,Total,OVR,OVERALL
2014,2014,OH,Ohio,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,No,10002,,,Total,"(40.060210141, -82.404260056)",PA,PA2,Q053,VALUE,39,Total,Total,OVR,OVERALL
2010,2010,VA,Virginia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,0.5,0.5,,,Total,"(37.542680674, -78.457890463)",BF,BF2,Q016,VALUE,51,Total,Total,OVR,OVERALL
2014,2014,NH,New Hampshire,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,7.3,7.3,,,Total,"(43.655950113, -71.50036092)",BF,BF2,Q013,VALUE,33,Total,Total,OVR,OVERALL
2016,2016,DC,District of Columbia,School Health Profiles (Profiles),Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Percent of secondary schools that offered a self-serve salad bar to students,,Value,46.4,46.4,,,Total,"(38.890371385, -77.031961127)",FV,FV2,Q061,VALUE,11,Total,Total,OVR,OVERALL
2016,2016,ME,Maine,School Health Profiles (Profiles),Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar",,Value,30.4,30.4,,,Total,"(45.254228894001, -68.985031336)",SD,SD2,Q063,VALUE,23,Total,Total,OVR,OVERALL
2012,2012,NV,Nevada,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons,,Value,,,N/A,Indicates States that did not receive WIC FMNP grants in FY2012,Total,"(39.49324039, -117.071840564)",FV,FV2,Q030,VALUE,32,Total,Total,OVR,OVERALL
2017,2017,WV,West Virginia,ECE Surveillance Sources,Physical Activity,Physical Activity - Environmental or Policy Supports,State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers,,Value,No,10002,,,Total,"(38.665510202, -80.712640135)",PA,PA2,Q052,VALUE,54,Total,Total,OVR,OVERALL
2015,2015,VA,Virginia,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,4.6,4.6,,,Total,"(37.542680674, -78.457890463)",BF,BF2,Q013,VALUE,51,Total,Total,OVR,OVERALL
2014,2014,NC,North Carolina,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,4.9,4.9,,,Total,"(35.466220975, -79.159250463)",BF,BF2,Q013,VALUE,37,Total,Total,OVR,OVERALL
2016,2016,WV,West Virginia,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,No,10002,,,Total,"(38.665510202, -80.712640135)",TV,TV2,Q065,VALUE,54,Total,Total,OVR,OVERALL
2011,2011,OH,Ohio,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(40.060210141, -82.404260056)",FV,FV2,Q032,VALUE,39,Total,Total,OVR,OVERALL
2015,2015,OR,Oregon,National Environmental Public Health Tracking Network,Physical Activity,Physical Activity - Environmental or Policy Supports,Percent of U.S. population living within 1/2 mile of a park,,Value,68.3,68.3,,,Total,"(44.567449424, -120.155031326)",PA,PA2,Q050,VALUE,41,Total,Total,OVR,OVERALL
2016,2016,MS,Mississippi,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,6.1,6.1,,,Total,"(32.745510099, -89.538030825)",BF,BF2,Q016,VALUE,28,Total,Total,OVR,OVERALL
2013,2013,OK,Oklahoma,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,0.4,0.4,,,Total,"(35.472031356, -97.521070214)",BF,BF2,Q016,VALUE,40,Total,Total,OVR,OVERALL
2007,2007,MD,Maryland,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,3.1,3.1,,,Total,"(39.290580964, -76.609260111)",BF,BF2,Q013,VALUE,24,Total,Total,OVR,OVERALL
2014,2014,AL,Alabama,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(32.840571122, -86.631860762)",SD,SD2,Q064,VALUE,01,Total,Total,OVR,OVERALL
2010,2010,VT,Vermont,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,No,10002,,,Total,"(43.625381239, -72.517640791)",TV,TV2,Q065,VALUE,50,Total,Total,OVR,OVERALL
2019,2019,AK,Alaska,ECE Surveillance Sources,Physical Activity,Physical Activity - Environmental or Policy Supports,State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers,,Value,No,10002,,,Total,"(64.84507995700051, -147.72205903599973)",PA,PA2,Q052,VALUE,02,Total,Total,OVR,OVERALL
2012,2012,WY,Wyoming,School Health Policies and Practices Study,Physical Activity,Physical Activity - Environmental or Policy Supports,State provides guidance on policies for school districts or schools on walking or biking to or from school,,Value,No,10002,,,Total,"(43.235541343, -108.109830353)",PA,PA2,Q057,VALUE,56,Total,Total,OVR,OVERALL
2019,2019,AR,Arkansas,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(34.74865012400045, -92.27449074299966)",SD,SD2,Q064,VALUE,05,Total,Total,OVR,OVERALL
2012,2012,NH,New Hampshire,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Number of food hubs in each state,,Value,0,0,,,Total,"(43.655950113, -71.50036092)",FV,FV2,Q025,VALUE,33,Total,Total,OVR,OVERALL
2019,2019,NV,Nevada,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,No,10002,,,Total,"(39.493240390000494, -117.07184056399967)",TV,TV2,Q065,VALUE,32,Total,Total,OVR,OVERALL
2018,2018,WV,West Virginia,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(38.66551020200046, -80.71264013499967)",PA,PA2,Q053,VALUE,54,Total,Total,OVR,OVERALL
2016,2016,LA,Louisiana,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,0.6,0.6,,,Total,"(31.312660644, -92.445680071)",BF,BF2,Q014,VALUE,22,Total,Total,OVR,OVERALL
2011,2011,ME,Maine,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(45.254228894001, -68.985031336)",FV,FV2,Q033,VALUE,23,Total,Total,OVR,OVERALL
2015,2015,SD,South Dakota,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(44.353130053, -100.373530637)",TV,TV2,Q066,VALUE,46,Total,Total,OVR,OVERALL
2009,2009,NE,Nebraska,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,21.3,21.3,,,Total,"(41.641040988001, -99.365720623)",BF,BF2,Q016,VALUE,31,Total,Total,OVR,OVERALL
2012,2012,IL,Illinois,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,Yes,10001,,,Total,"(40.485010283, -88.997710178)",FV,FV2,Q032,VALUE,17,Total,Total,OVR,OVERALL
2018,2018,DC,District of Columbia,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(38.89037138500049, -77.03196112699965)",SD,SD2,Q064,VALUE,11,Total,Total,OVR,OVERALL
2015,2015,RI,Rhode Island,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(41.708280193, -71.522470314)",FV,FV2,Q033,VALUE,44,Total,Total,OVR,OVERALL
2017,2017,LA,Louisiana,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons,,Value,16.0,16,,,Total,"(31.312660644, -92.445680071)",FV,FV2,Q030,VALUE,22,Total,Total,OVR,OVERALL
2012,2012,MN,Minnesota,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,4.1,4.1,,,Total,"(46.355648736, -94.794200503)",BF,BF2,Q016,VALUE,27,Total,Total,OVR,OVERALL
2015,2015,CA,California,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,Yes,10001,,,Total,"(37.638640123, -120.999999538)",FV,FV2,Q032,VALUE,06,Total,Total,OVR,OVERALL
2014,2014,WA,Washington,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(47.522278629, -120.47001079)",TV,TV2,Q066,VALUE,53,Total,Total,OVR,OVERALL
2015,2015,DC,District of Columbia,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(38.890371385, -77.031961127)",FV,FV2,Q033,VALUE,11,Total,Total,OVR,OVERALL
2018,2018,ID,Idaho,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(43.682630005000476, -114.3637300419997)",TV,TV2,Q066,VALUE,16,Total,Total,OVR,OVERALL
2010,2010,MT,Montana,School Health Profiles (Profiles),Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar",,Value,71.4,71.4,,,Total,"(47.066528972, -109.424420645)",SD,SD2,Q063,VALUE,30,Total,Total,OVR,OVERALL
2018,2018,RI,Rhode Island,CDC Maternity Practices in Infant Nutrition and Care Survey,Breastfeeding,Breastfeeding - Environmental or Policy Supports,Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities,,Value,96,96,,,Total,"(41.708280193, -71.522470314)",BF,BF2,Q009,VALUE,44,Total,Total,OVR,OVERALL
2014,2014,MT,Montana,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,No,10002,,,Total,"(47.066528972, -109.424420645)",FV,FV2,Q032,VALUE,30,Total,Total,OVR,OVERALL
2014,2014,CO,Colorado,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,8.6,8.6,,,Total,"(38.843840757, -106.133610921)",BF,BF2,Q016,VALUE,08,Total,Total,OVR,OVERALL
2015,2015,OH,Ohio,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(40.060210141, -82.404260056)",TV,TV2,Q066,VALUE,39,Total,Total,OVR,OVERALL
2012,2012,OR,Oregon,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(44.567449424, -120.155031326)",FV,FV2,Q033,VALUE,41,Total,Total,OVR,OVERALL
2016,2016,NE,Nebraska,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(41.641040988001, -99.365720623)",SD,SD2,Q064,VALUE,31,Total,Total,OVR,OVERALL
2015,2015,US,National,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,4,4,,,Total,,TV,TV2,Q065,VALUE,59,Total,Total,OVR,OVERALL
2016,2016,NM,New Mexico,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,Yes,10001,,,Total,"(34.520880952, -106.240580985)",FV,FV2,Q033,VALUE,35,Total,Total,OVR,OVERALL
2017,2017,MN,Minnesota,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(46.35564873600049, -94.79420050299967)",PA,PA2,Q053,VALUE,27,Total,Total,OVR,OVERALL
2013,2013,NE,Nebraska,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(41.641040988001, -99.365720623)",FV,FV2,Q033,VALUE,31,Total,Total,OVR,OVERALL
2011,2011,WI,Wisconsin,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(44.393191174, -89.816370742)",TV,TV2,Q066,VALUE,55,Total,Total,OVR,OVERALL
2015,2015,AR,Arkansas,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years,,Value,No,10002,,,Total,"(34.748650124, -92.274490743)",TV,TV2,Q065,VALUE,05,Total,Total,OVR,OVERALL
2013,2013,OR,Oregon,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,8.4,8.4,,,Total,"(44.567449424, -120.155031326)",BF,BF2,Q016,VALUE,41,Total,Total,OVR,OVERALL
2010,2010,TX,Texas,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(31.827240407, -99.426770206)",FV,FV2,Q033,VALUE,48,Total,Total,OVR,OVERALL
2012,2012,WA,Washington,School Health Profiles (Profiles),Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar",,Value,33.4,33.4,,,Total,"(47.522278629, -120.47001079)",SD,SD2,Q062,VALUE,53,Total,Total,OVR,OVERALL
2018,2018,LA,Louisiana,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(31.31266064400046, -92.44568007099969)",PA,PA2,Q053,VALUE,22,Total,Total,OVR,OVERALL
2009,2009,HI,Hawaii,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,8.9,8.9,,,Total,"(21.304850435, -157.857749403)",BF,BF2,Q016,VALUE,15,Total,Total,OVR,OVERALL
2015,2015,IN,Indiana,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,4.8,4.8,,,Total,"(39.766910452, -86.149960194)",BF,BF2,Q013,VALUE,18,Total,Total,OVR,OVERALL
2018,2018,AL,Alabama,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(32.84057112200048, -86.63186076199969)",SD,SD2,Q064,VALUE,01,Total,Total,OVR,OVERALL
2016,2016,TX,Texas,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(31.827240407, -99.426770206)",SD,SD2,Q064,VALUE,48,Total,Total,OVR,OVERALL
2017,2017,WA,Washington,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(47.522278629, -120.47001079)",SD,SD2,Q064,VALUE,53,Total,Total,OVR,OVERALL
2013,2013,IA,Iowa,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,0.0,0,,,Total,"(42.469400913, -93.816490556)",BF,BF2,Q016,VALUE,19,Total,Total,OVR,OVERALL
2013,2013,WA,Washington,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(47.522278629, -120.47001079)",SD,SD2,Q064,VALUE,53,Total,Total,OVR,OVERALL
2017,2017,DE,Delaware,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,Yes,10001,,,Total,"(39.008830667, -75.577741168)",FV,FV2,Q033,VALUE,10,Total,Total,OVR,OVERALL
2012,2012,HI,Hawaii,ECE Surveillance Sources,Sugar Drinks,Sugar Drinks - Environmental or Policy Supports,"State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk",,Value,No,10002,,,Total,"(21.304850435, -157.857749403)",SD,SD2,Q064,VALUE,15,Total,Total,OVR,OVERALL
2019,2019,LA,Louisiana,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(31.31266064400046, -92.44568007099969)",PA,PA2,Q053,VALUE,22,Total,Total,OVR,OVERALL
2011,2011,RI,Rhode Island,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,5.3,5.3,,,Total,"(41.708280193, -71.522470314)",BF,BF2,Q013,VALUE,44,Total,Total,OVR,OVERALL
2016,2016,MT,Montana,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,9.1,9.1,,,Total,"(47.066528972, -109.424420645)",BF,BF2,Q016,VALUE,30,Total,Total,OVR,OVERALL
2012,2012,NV,Nevada,Fruits and Vegetables Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,Number of food hubs in each state,,Value,0,0,,,Total,"(39.49324039, -117.071840564)",FV,FV2,Q025,VALUE,32,Total,Total,OVR,OVERALL
2012,2012,FL,Florida,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)",,Value,2.9,2.9,,,Total,"(28.932040377, -81.928960539)",BF,BF2,Q016,VALUE,12,Total,Total,OVR,OVERALL
2016,2016,MS,Mississippi,ECE Surveillance Sources,Physical Activity,Physical Activity - Environmental or Policy Supports,State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers,,Value,No,10002,,,Total,"(32.745510099, -89.538030825)",PA,PA2,Q052,VALUE,28,Total,Total,OVR,OVERALL
2019,2019,NJ,New Jersey,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(40.13057004800049, -74.27369128799967)",PA,PA2,Q053,VALUE,34,Total,Total,OVR,OVERALL
2012,2012,NY,New York,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(42.827001032, -75.543970427)",FV,FV2,Q033,VALUE,36,Total,Total,OVR,OVERALL
2012,2012,CA,California,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(37.638640123, -120.999999538)",FV,FV2,Q033,VALUE,06,Total,Total,OVR,OVERALL
2017,2017,OK,Oklahoma,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,No,10002,,,Total,"(35.47203135600046, -97.52107021399968)",PA,PA2,Q053,VALUE,40,Total,Total,OVR,OVERALL
2016,2016,OH,Ohio,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(40.060210141, -82.404260056)",TV,TV2,Q066,VALUE,39,Total,Total,OVR,OVERALL
2014,2014,NE,Nebraska,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving vegetables,,Value,No,10002,,,Total,"(41.641040988001, -99.365720623)",FV,FV2,Q033,VALUE,31,Total,Total,OVR,OVERALL
2012,2012,IN,Indiana,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,4.3,4.3,,,Total,"(39.766910452, -86.149960194)",BF,BF2,Q013,VALUE,18,Total,Total,OVR,OVERALL
2015,2015,AZ,Arizona,National Environmental Public Health Tracking Network,Physical Activity,Physical Activity - Environmental or Policy Supports,Percent of U.S. population living within 1/2 mile of a park,,Value,64.1,64.1,,,Total,"(34.86597028, -111.763811277)",PA,PA2,Q050,VALUE,04,Total,Total,OVR,OVERALL
2012,2012,MD,Maryland,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,Yes,10001,,,Total,"(39.290580964, -76.609260111)",PA,PA2,Q053,VALUE,24,Total,Total,OVR,OVERALL
2012,2012,SD,South Dakota,National Complete Streets Coalition,Physical Activity,Physical Activity - Environmental or Policy Supports,State has adopted some form of a Complete Streets policy,,Value,No,10002,,,Total,"(44.353130053, -100.373530637)",PA,PA2,Q053,VALUE,46,Total,Total,OVR,OVERALL
2010,2010,TN,Tennessee,ECE Surveillance Sources,Physical Activity,Physical Activity - Environmental or Policy Supports,State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers,,Value,No,10002,,,Total,"(35.68094058, -85.774490914)",PA,PA2,Q052,VALUE,47,Total,Total,OVR,OVERALL
2015,2015,AZ,Arizona,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,Yes,10001,,,Total,"(34.86597028, -111.763811277)",FV,FV2,Q032,VALUE,04,Total,Total,OVR,OVERALL
2015,2015,ND,North Dakota,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of La Leche League leaders per 1,000 live births",,Value,0.5,0.5,,,Total,"(47.475319779, -100.118421049)",BF,BF2,Q014,VALUE,38,Total,Total,OVR,OVERALL
2016,2016,CA,California,ECE Surveillance Sources,Fruits and Vegetables,Fruits and Vegetables - Environmental or Policy Supports,State child care regulations align with national standards for serving fruits,,Value,Yes,10001,,,Total,"(37.638640123, -120.999999538)",FV,FV2,Q032,VALUE,06,Total,Total,OVR,OVERALL
2018,2018,ND,North Dakota,ECE Surveillance Sources,Television Viewing,Television Viewing - Environmental or Policy Supports,State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week,,Value,No,10002,,,Total,"(47.47531977900047, -100.11842104899966)",TV,TV2,Q066,VALUE,38,Total,Total,OVR,OVERALL
2012,2012,SD,South Dakota,School Health Policies and Practices Study,Physical Activity,Physical Activity - Environmental or Policy Supports,State provides guidance on policies for school districts or schools on time spent in moderate-to-vigorous intensity physical activity during physical education class,,Value,Yes,10001,,,Total,"(44.353130053, -100.373530637)",PA,PA2,Q056,VALUE,46,Total,Total,OVR,OVERALL
2009,2009,NV,Nevada,Breastfeeding Surveillance Sources,Breastfeeding,Breastfeeding - Environmental or Policy Supports,"Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births",,Value,0.8,0.8,,,Total,"(39.49324039, -117.071840564)",BF,BF2,Q013,VALUE,32,Total,Total,OVR,OVERALL
2012,2012,NE,Nebraska,ECE Surveillance Sources,Physical Activity,Physical Activity - Environmental or Policy Supports,State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers,,Value,No,10002,,,Total,"(41.641040988001, -99.365720623)",PA,PA2,Q052,VALUE,31,Total,Total,OVR,OVERALL
2015,2015,IL,Illinois,National Environmental Public Health Tracking Network,Physical Activity,Physical Activity - Environmental or Policy Supports,Percent of U.S. population living within 1/2 mile of a park,,Value,59.4,59.4,,,Total,"(40.485010283, -88.997710178)",PA,PA2,Q050,VALUE,17,Total,Total,OVR,OVERALL
