"YearStart","LocationAbbr","LocationDesc","Class","Question","Data_Value","QuestionRenamed"
"2017","MI","Michigan","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2017","OH","Ohio","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2012","MT","Montana","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","70.0","Percent of Sec Schools Offering Salad Bar"
"2019","NE","Nebraska","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2015","VT","Vermont","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2017","MI","Michigan","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2018","AK","Alaska","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","CA","California","Fruits and Vegetables","Number of farmers markets per 100,000 residents","2.2","Farmers Market Count"
"2018","WY","Wyoming","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","76","mPINC Score"
"2016","SC","South Carolina","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","25.0","Percent of Youth with Activity Areas Nearby"
"2012","ID","Idaho","Physical Activity","State provides guidance on policies for school districts or schools on joint-use agreements for physical activity facilities","No","State Guidance on Policies for School Activity Facilities"
"2019","NE","Nebraska","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2017","CA","California","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","NM","New Mexico","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","82","mPINC Score"
"2012","HI","Hawaii","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","39.9","Percent of Sec Schools Offering Salad Bar"
"2018","HI","Hawaii","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","NY","New York","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2018","AZ","Arizona","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2013","IA","Iowa","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2013","MA","Massachusetts","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","ME","Maine","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2019","MO","Missouri","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2015","OH","Ohio","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2015","OR","Oregon","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2011","RI","Rhode Island","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2013","TN","Tennessee","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2012","MI","Michigan","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","MA","Massachusetts","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2015","FL","Florida","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2017","NY","New York","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2013","AZ","Arizona","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","DE","Delaware","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","Yes","State-National Alignment on Fruit Serving  Regulations"
"2011","RI","Rhode Island","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.9","La Leche Leaders Count"
"2013","RI","Rhode Island","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2016","SC","South Carolina","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","ME","Maine","Fruits and Vegetables","Number of food hubs in each state","3","Food Hubs Count"
"2013","MA","Massachusetts","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2015","IN","Indiana","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2019","DC","District of Columbia","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2014","DE","Delaware","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","4.4","IBCLCs Count"
"2012","OK","Oklahoma","Physical Activity","State provides guidance on policies for school districts or schools on recess","Yes","State Guidance on Policies for School Recess"
"2014","NH","New Hampshire","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2015","AZ","Arizona","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","FL","Florida","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.8","La Leche Leaders Count"
"2017","HI","Hawaii","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","US","National","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","9","State-National Alignment on Fruit Serving  Regulations"
"2011","KS","Kansas","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.6","IBCLCs Count"
"2019","DE","Delaware","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2015","US","National","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","0","State-National Alignment on Avoiding Sugar Regulations"
"2015","AR","Arkansas","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.5","La Leche Leaders Count"
"2017","NJ","New Jersey","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","IN","Indiana","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","62.7","Percent Sec Schools Allowing Sports Drink"
"2012","RI","Rhode Island","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","5.6","IBCLCs Count"
"2012","MD","Maryland","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2016","MN","Minnesota","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","OR","Oregon","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2017","WV","West Virginia","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","5.8","Percent of BFHI births"
"2011","NY","New York","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2014","VT","Vermont","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","79.9","Percent of Sec Schools Offering Salad Bar"
"2012","TN","Tennessee","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","31.0","Percent Sec Schools Allowing Soda Purchase"
"2019","US","National","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","0","State-National Alignment on Restricting Media Age >2 yrs"
"2013","NC","North Carolina","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","Yes","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","GA","Georgia","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","MT","Montana","Physical Activity","State provides guidance on policies for school districts or schools on recess","Yes","State Guidance on Policies for School Recess"
"2015","NY","New York","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2013","ND","North Dakota","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","MT","Montana","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.3","Percent of BFHI births"
"2016","MT","Montana","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","WY","Wyoming","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","2.9","Percent of BFHI births"
"2014","MD","Maryland","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","42.2","Percent Sec Schools Allowing Sports Drink"
"2013","PA","Pennsylvania","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2015","MD","Maryland","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","Yes","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","AL","Alabama","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.5","La Leche Leaders Count"
"2012","IA","Iowa","Physical Activity","State provides guidance on policies for school districts or schools on recess","No","State Guidance on Policies for School Recess"
"2017","TX","Texas","Fruits and Vegetables","Number of farmers markets per 100,000 residents","0.8","Farmers Market Count"
"2014","IN","Indiana","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2014","WI","Wisconsin","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","25.0","Percent Sec Schools Allowing Soda Purchase"
"2014","WI","Wisconsin","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2013","KS","Kansas","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2011","IN","Indiana","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2018","CT","Connecticut","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","MD","Maryland","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","27.8","Percent of Sec Schools Offering Salad Bar"
"2016","WV","West Virginia","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2017","DE","Delaware","Fruits and Vegetables","Number of food hubs in each state","0","Food Hubs Count"
"2011","NV","Nevada","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","NE","Nebraska","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2019","IA","Iowa","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2017","MI","Michigan","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2017","CT","Connecticut","Fruits and Vegetables","Number of food hubs in each state","2","Food Hubs Count"
"2015","IA","Iowa","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.8","IBCLCs Count"
"2016","KS","Kansas","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2014","VT","Vermont","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2012","ND","North Dakota","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","","Percent of WIC Farmers Markets"
"2018","MT","Montana","Fruits and Vegetables","Number of local food policy councils in each state","1","Local Food Policy Council Count"
"2012","MA","Massachusetts","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","5.3","IBCLCs Count"
"2013","DC","District of Columbia","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.8","La Leche Leaders Count"
"2015","IL","Illinois","Breastfeeding","Number of La Leche League leaders per 1,000 live births","0.9","La Leche Leaders Count"
"2016","MI","Michigan","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","40.1","Percent of Youth with Activity Areas Nearby"
"2019","VA","Virginia","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","MN","Minnesota","Fruits and Vegetables","Number of farmers markets per 100,000 residents","3.2","Farmers Market Count"
"2018","VT","Vermont","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","82","mPINC Score"
"2013","WY","Wyoming","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2013","AL","Alabama","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2018","US","National","Breastfeeding","Average Maternity Practice in Infant Nutrition and Care (mPINC) score among hospitals and birthing facilities","79","mPINC Score"
"2013","AR","Arkansas","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","ME","Maine","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2011","UT","Utah","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2011","WV","West Virginia","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2017","TX","Texas","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","17.0","Percent of BFHI births"
"2013","WA","Washington","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2015","MA","Massachusetts","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","5.5","IBCLCs Count"
"2018","KS","Kansas","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2011","MI","Michigan","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.7","La Leche Leaders Count"
"2018","IL","Illinois","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2019","OK","Oklahoma","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","VT","Vermont","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2014","KY","Kentucky","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","IL","Illinois","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2015","WA","Washington","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2011","OK","Oklahoma","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","KY","Kentucky","Fruits and Vegetables","Percent of farmers markets that accept WIC Farmers Market Nutrition Program coupons","20.4","Percent of WIC Farmers Markets"
"2012","MO","Missouri","Physical Activity","State provides guidance on policies for school districts or schools on walking or biking to or from school","Yes","State Guidance on Commuting to School by Walk or Bike"
"2014","ME","Maine","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2014","WV","West Virginia","Sugar Drinks","Percent of secondary schools that allowed students to purchase sports drinks from one or more vending machines or at the school store, canteen, or snack bar","10.7","Percent Sec Schools Allowing Sports Drink"
"2014","DE","Delaware","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","17.5","Percent of Sec Schools Offering Salad Bar"
"2015","IA","Iowa","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.2","Percent of BFHI births"
"2019","FL","Florida","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2015","ND","North Dakota","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2018","ND","North Dakota","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2015","VT","Vermont","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2017","SD","South Dakota","Fruits and Vegetables","Number of food hubs in each state","2","Food Hubs Count"
"2018","ID","Idaho","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2012","DE","Delaware","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2012","NE","Nebraska","Fruits and Vegetables","Number of farmers markets per 100,000 residents","4.6","Farmers Market Count"
"2013","AK","Alaska","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2019","MA","Massachusetts","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2013","FL","Florida","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2019","MA","Massachusetts","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","OK","Oklahoma","Physical Activity","State provides guidance on policies for school districts or schools on walking or biking to or from school","Yes","State Guidance on Commuting to School by Walk or Bike"
"2017","SC","South Carolina","Fruits and Vegetables","Number of farmers markets per 100,000 residents","2.7","Farmers Market Count"
"2016","TX","Texas","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","2.5","IBCLCs Count"
"2016","KS","Kansas","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2019","DC","District of Columbia","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","49.4","Percent of BFHI births"
"2015","WA","Washington","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2012","NC","North Carolina","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2018","DC","District of Columbia","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2012","NM","New Mexico","Fruits and Vegetables","Number of food hubs in each state","4","Food Hubs Count"
"2014","IN","Indiana","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2013","ID","Idaho","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.3","IBCLCs Count"
"2012","WI","Wisconsin","Physical Activity","State has adopted some form of a Complete Streets policy","No","Complete Streets Policy"
"2013","WI","Wisconsin","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2016","CT","Connecticut","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2011","MT","Montana","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2016","TN","Tennessee","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","11.2","Percent of BFHI births"
"2019","MO","Missouri","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","FL","Florida","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2014","US","National","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.5","IBCLCs Count"
"2014","DE","Delaware","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","Yes","State-National Alignment on Fruit Serving  Regulations"
"2012","MI","Michigan","Breastfeeding","Number of La Leche League leaders per 1,000 live births","1.5","La Leche Leaders Count"
"2017","PA","Pennsylvania","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","Yes","State-National Alignment on Vegetable Serving Regulations"
"2012","WV","West Virginia","Physical Activity","State provides guidance on policies for school districts or schools on walking or biking to or from school","Yes","State Guidance on Commuting to School by Walk or Bike"
"2015","NJ","New Jersey","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","3.6","IBCLCs Count"
"2016","US","National","Physical Activity","Percent of youth with parks or playground areas, community centers and sidewalks or walking paths available in their neighborhood","41.9","Percent of Youth with Activity Areas Nearby"
"2017","IN","Indiana","Fruits and Vegetables","Number of farmers markets per 100,000 residents","2.9","Farmers Market Count"
"2013","NY","New York","Fruits and Vegetables","State child care regulations align with national standards for serving vegetables","No","State-National Alignment on Vegetable Serving Regulations"
"2014","IA","Iowa","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","66.6","Percent of Sec Schools Offering Salad Bar"
"2015","MN","Minnesota","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2014","MT","Montana","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2018","AL","Alabama","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","16.5","Percent of BFHI births"
"2019","NE","Nebraska","Sugar Drinks","State child care regulations align with national standards for avoiding sugar, including concentrated sweets such as candy, sodas, sweetened drinks, fruit nectars, and flavored milk","No","State-National Alignment on Avoiding Sugar Regulations"
"2012","WY","Wyoming","Fruits and Vegetables","Percent of farmers markets that accept SNAP benefits","7.0","Percent of SNAP Farmers Markets"
"2015","MD","Maryland","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","10.2","Percent of BFHI births"
"2016","DE","Delaware","Breastfeeding","Number of International Board Certified Lactation Consultants (IBCLCs) per 1,000 live births","4.9","IBCLCs Count"
"2012","NH","New Hampshire","Physical Activity","State provides guidance on policies for school districts or schools on walking or biking to or from school","No","State Guidance on Commuting to School by Walk or Bike"
"2015","MD","Maryland","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2012","MS","Mississippi","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2016","IL","Illinois","Sugar Drinks","Percent of secondary schools that allowed students to purchase soda pop or fruit drinks from one or more vending machines or at the school store, canteen, or snack bar","24.4","Percent Sec Schools Allowing Soda Purchase"
"2019","CT","Connecticut","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","45.9","Percent of BFHI births"
"2014","TN","Tennessee","Fruits and Vegetables","State child care regulations align with national standards for serving fruits","No","State-National Alignment on Fruit Serving  Regulations"
"2018","WI","Wisconsin","Physical Activity","State child care regulations align with national standards for moderate- to vigorous- intensity physical activity for preschoolers","No","State-National Alignment on Physical Activity for Preschoolers"
"2017","VT","Vermont","Television Viewing","State child care regulations align with national standards for limiting total media time for children 2 years or older to not more than 30 minutes once a week","No","State-National Alignment on Restricting Media Age >2 yrs"
"2019","MS","Mississippi","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","35.3","Percent of BFHI births"
"2012","GA","Georgia","Television Viewing","State child care regulations align with national standards for prohibiting use of media and computers with children younger than 2 years","No","State-National Alignment on Prohibiting Media Age <=2 yrs"
"2016","SC","South Carolina","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2016","WV","West Virginia","Breastfeeding","Percent of live births occurring at facilities designated as ""baby friendly"" by the Baby Friendly Hospital Initiative (BFHI)","0.0","Percent of BFHI births"
"2014","TN","Tennessee","Physical Activity","State has adopted some form of a Complete Streets policy","Yes","Complete Streets Policy"
"2012","MN","Minnesota","Fruits and Vegetables","Percent of secondary schools that offered a self-serve salad bar to students","67.6","Percent of Sec Schools Offering Salad Bar"
